[Thu Jun 23 16:09:09.350598 2016] [:error] [pid 37270] [client 10.10.14.113:60509] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:09.573278 2016] [:error] [pid 37270] [client 10.10.14.113:60509] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:09.573388 2016] [:error] [pid 37270] [client 10.10.14.113:60509] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:09.573455 2016] [:error] [pid 37270] [client 10.10.14.113:60509] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:09.791496 2016] [:error] [pid 37210] [client 10.10.14.113:60508] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:09.791620 2016] [:error] [pid 37210] [client 10.10.14.113:60508] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:09.791687 2016] [:error] [pid 37210] [client 10.10.14.113:60508] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:09.992920 2016] [:error] [pid 37210] [client 10.10.14.113:60508] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:09.993053 2016] [:error] [pid 37210] [client 10.10.14.113:60508] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:09.993178 2016] [:error] [pid 37210] [client 10.10.14.113:60508] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:10.195561 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:10.195591 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:10.195603 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:10.326491 2016] [:error] [pid 37324] [client 10.10.14.113:60506] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:10.326629 2016] [:error] [pid 37324] [client 10.10.14.113:60506] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:10.326698 2016] [:error] [pid 37324] [client 10.10.14.113:60506] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
[Thu Jun 23 16:09:10.533947 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 16
[Thu Jun 23 16:09:10.534053 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 20
[Thu Jun 23 16:09:10.534121 2016] [:error] [pid 37378] [client 10.10.14.113:60505] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /home/985219/public_html/hw4/signup-submit.php on line 21
